StockCode,Description,PriceCategory,TotalRevenue,TotalQuantity,NumberOrders,AveragePrice
22469,HEART OF WICKER SMALL,moyen,22108.299999999897,12502,875,1.6530546265329042
21931,JUMBO STORAGE BAG SUKI,moyen,21782.68999999991,11514,772,2.023508322663237
48185,DOORMAT FAIRY CAKE,premium,21187.689999999988,3429,241,7.90655737704919
21621,VINTAGE UNION JACK BUNTING,premium,20962.16,2540,391,8.505348258706467
23202,JUMBO BAG VINTAGE LEAF,moyen,20910.239999999903,10703,765,2.0598709677419205
22726,ALARM CLOCK BAKELIKE GREEN,premium,20880.399999999994,5641,789,3.7910148514851483
22961,JAM MAKING SET PRINTED,bas,20825.300000000003,14950,854,1.4420209059233673
23203,JUMBO BAG VINTAGE DOILY ,moyen,20674.67999999991,10636,621,2.062097791798104
15056N,EDWARDIAN PARASOL NATURAL,premium,20649.910000000033,3802,377,5.874960629921273
85066,CREAM SWEETHEART MINI CHEST,premium,20562.920000000002,1705,445,12.648483516483509
22722,SET OF 6 SPICE TINS PANTRY DESIGN,premium,20529.99999999995,5372,653,3.91750741839761
22139,RETROSPOT TEA SET CERAMIC 11 PC ,premium,20470.780000000086,4248,823,4.9979951980791615
21166,COOK WITH WINE METAL SIGN ,moyen,20248.1299999999,10161,601,2.0400326797385637
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,moyen,20141.189999999908,10510,785,2.024373433583943
22111,SCOTTIE DOG HOT WATER BOTTLE,premium,20104.35000000009,4259,656,4.903278688524544
22630,DOLLY GIRL LUNCH BOX,moyen,20096.400000000085,11328,609,1.926629570747239
48194,DOORMAT HEARTS,premium,19948.809999999976,3271,480,7.949690082644609
82482,WOODEN PICTURE FRAME WHITE FINISH,moyen,19932.17000000006,8264,869,2.6305795454545193
22178,VICTORIAN GLASS HANGING T-LIGHT,bas,19804.950000000004,17589,586,1.2280438448566593
22659,LUNCH BOX I LOVE LONDON,moyen,19336.700000000048,11090,501,1.9145437262357556
84879,ASSORTED COLOUR BIRD ORNAMENT,bas,19221.2,13256,54,1.4500000000000013
21523,DOORMAT FANCY FONT HOME SWEET HOME,premium,19157.01999999998,3088,397,7.86537688442212
20713,JUMBO BAG OWLS,moyen,19052.13999999995,10460,406,1.9939182692307758
20725,LUNCH BAG RED RETROSPOT,moyen,19036.049999999996,11537,1214,1.6500000000000374
22090,PAPER BUNTING RETROSPOT,moyen,18786.100000000093,6878,566,2.899650349650371
22728,ALARM CLOCK BAKELIKE PINK,premium,18569.089999999997,5074,613,3.7871497584541065
21929,JUMBO BAG PINK VINTAGE PAISLEY,moyen,18392.809999999914,9880,595,2.0165275459098497
22666,RECIPE BOX PANTRY YELLOW DESIGN,moyen,18222.49000000017,6583,813,2.9205797101449256
21843,RED RETROSPOT CAKE STAND,premium,17929.750000000007,1809,421,10.862765957446722
23344,JUMBO BAG 50'S CHRISTMAS ,moyen,17671.459999999923,8952,584,2.0634333333333346
22697,GREEN REGENCY TEACUP AND SAUCER,moyen,17655.80000000012,6404,680,2.8980225988700785
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,moyen,17599.200000000095,6480,457,2.921914893617045
82494L,WOODEN FRAME ANTIQUE WHITE ,moyen,17572.850000000133,6275,807,2.9107843137254927
22467,GUMBALL COAT RACK,moyen,17555.549999999952,7683,565,2.4783132530120247
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,moyen,17260.19999999999,7840,292,2.5083757961783344
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,bas,17226.200000000004,15940,239,1.2353974895397493
23203,JUMBO BAG DOILEY PATTERNS,moyen,16741.259999999933,8737,454,2.0463537117904056
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,moyen,16442.200000000084,5860,754,2.9200258397932917
21212,PACK OF 72 RETROSPOT CAKE CASES,bas,16394.530000000126,33693,1029,0.5482116104868929
22865,HAND WARMER OWL DESIGN,moyen,16192.200000000115,8104,565,2.0886201022146493
15036,ASSORTED COLOURS SILK FAN,bas,16044.439999999913,21876,324,0.8050153846153895
22492,MINI PAINT SET VINTAGE ,bas,16026.199999999919,26068,321,0.6443925233644896
22470,HEART OF WICKER LARGE,moyen,16020.650000000094,5703,786,2.932910447761197
21485,RETROSPOT HEART HOT WATER BOTTLE,premium,15871.730000000069,3335,533,4.958850364963485
21754,HOME BUILDING BLOCK WORD,premium,15630.960000000056,2654,691,6.017971830985884
20712,JUMBO BAG WOODLAND ANIMALS,moyen,15499.209999999903,8184,489,2.0234817813765313
22114,HOT WATER BOTTLE TEA AND SYMPATHY,premium,15415.220000000003,3736,514,4.212192307692306
22385,JUMBO BAG SPACEBOY DESIGN,moyen,15318.629999999896,8233,474,2.0234917355372026
85152,HAND OVER THE CHOCOLATE   SIGN ,moyen,15200.22000000004,8087,580,2.066040955631399
15056BL,EDWARDIAN PARASOL BLACK,premium,15187.470000000025,2763,290,5.907310344827615
84946,ANTIQUE SILVER T-LIGHT GLASS,bas,14918.59999999999,12856,527,1.2268726591760293
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,moyen,14813.70000000001,6929,68,2.5114285714285725
22624,IVORY KITCHEN SCALES,premium,14788.329999999996,1783,620,8.582519685039374
21733,RED HANGING HEART T-LIGHT HOLDER,moyen,14723.050000000043,5319,663,2.9117647058823786
22698,PINK REGENCY TEACUP AND SAUCER,moyen,14705.800000000072,5332,549,2.9007798960138853
82483,WOOD 2 DRAWER CABINET WHITE FINISH,premium,14689.869999999943,2341,509,6.73034548944333
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,moyen,14604.05999999993,7750,446,2.0363636363636495
22993,SET OF 4 PANTRY JELLY MOULDS,bas,14077.30999999999,11747,853,1.240249999999998
22969,HOMEMADE JAM SCENTED CANDLES,bas,13894.349999999877,9963,514,1.4426213592233095
22835,HOT WATER BOTTLE I AM SO POORLY,premium,13847.27999999998,2972,505,4.858841698841686
22197,SMALL POPCORN HOLDER,bas,13798.720000000012,18252,403,0.8329197080292002
84997D,CHILDRENS CUTLERY POLKADOT PINK,premium,13796.600000000019,3530,323,4.172439024390253
22077,6 RIBBONS RUSTIC CHARM,moyen,13743.899999999983,7824,709,1.75585831062671
20727,LUNCH BAG  BLACK SKULL.,moyen,13633.949999999952,8263,1018,1.650000000000029
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,bas,13586.25000000003,54415,472,0.29260042283298265
48184,DOORMAT ENGLISH ROSE ,premium,13470.949999999966,1975,356,7.776983240223476
22084,PAPER CHAIN KIT EMPIRE,moyen,13435.150000000012,4893,374,2.907180156657978
85123A,WHITE HANGING HEART T-LIGHT HOLDER,premium,13334.900000000003,4128,18,4.50388888888889
22847,BREAD BIN DINER STYLE IVORY,premium,13131.890000000018,847,341,16.527947214076143
23356,LOVE HOT WATER BOTTLE,premium,13115.400000000047,2352,449,5.892917547568685
22622,BOX OF VINTAGE ALPHABET BLOCKS,premium,13035.659999999963,1295,231,11.122554112554104
23200,JUMBO BAG PEARS,moyen,13026.719999999925,6729,467,2.0591139240506493
84078A,SET/4 WHITE RETRO STORAGE CUBES ,premium,13007.15000000002,357,106,38.86509433962257
23313,VINTAGE CHRISTMAS BUNTING,premium,12994.770000000006,2755,359,4.951293800539113
22189,CREAM HEART CARD HOLDER,moyen,12991.54,5622,21,2.311428571428572
23108,SET OF 10 LED DOLLY LIGHTS,premium,12985.230000000003,2194,351,6.148418079096049
20728,LUNCH BAG CARS BLUE,moyen,12874.949999999955,7803,933,1.6500000000000214
82583,HOT BATHS METAL SIGN,moyen,12832.140000000045,6415,385,2.0818316831683306
22752,SET 7 BABUSHKA NESTING BOXES,premium,12665.289999999994,1654,297,8.404186046511628
84978,HANGING HEART JAR T-LIGHT HOLDER,bas,12659.959999999988,10974,567,1.2173437499999986
22470,HEART OF WICKER LARGE,premium,12500.300000000001,3888,15,4.239333333333334
23206,LUNCH BAG APPLE DESIGN,moyen,12449.249999999965,7545,828,1.6500000000000135
22507,MEMO BOARD RETROSPOT  DESIGN,premium,12411.019999999993,2786,348,4.937327586206924
22382,LUNCH BAG SPACEBOY DESIGN ,moyen,12337.04999999996,7477,964,1.6500000000000234
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,premium,12294.38,1723,304,8.363668831168836
22866,HAND WARMER SCOTTY DOG DESIGN,moyen,12248.760000000037,6118,471,2.089302788844635
20750,RED RETROSPOT MINI CASES,premium,12216.799999999968,1712,365,7.749455040871902
22113,GREY HEART HOT WATER BOTTLE,premium,12191.15,3156,511,4.029555555555556
22941,CHRISTMAS LIGHTS 10 REINDEER,premium,12150.000000000002,1572,253,8.44764705882353
20749,ASSORTED COLOUR MINI CASES,premium,12123.40999999997,1719,365,7.790978260869536
22384,LUNCH BAG PINK POLKADOT,moyen,12109.349999999968,7339,899,1.6500000000000192
21524,DOORMAT SPOTTY HOME SWEET HOME,premium,12095.669999999962,1662,405,7.964829268292692
22867,HAND WARMER BIRD DESIGN,moyen,12036.000000000053,5990,469,2.0891304347826245
84029E,RED WOOLLY HOTTIE WHITE HEART.,premium,12014.510000000002,3227,319,4.061533742331288
22083,PAPER CHAIN KIT RETROSPOT,moyen,11991.100000000037,4298,438,2.9147058823529615
22383,LUNCH BAG SUKI DESIGN ,moyen,11955.899999999947,7246,875,1.650000000000018
DOT,DOTCOM POSTAGE,premium,11906.36,16,16,744.1475
22625,RED KITCHEN SCALES,premium,11895.730000000001,1476,448,8.442373626373632
22379,RECYCLING BAG RETROSPOT ,moyen,11855.70000000001,6067,398,2.0802469135802615
22568,FELTCRAFT CUSHION OWL,premium,11783.049999999997,3284,417,3.785610328638501
22273,FELTCRAFT DOLL MOLLY,moyen,11728.25000000003,4463,289,2.9288851351351473
47590B,PINK HAPPY BIRTHDAY BUNTING,premium,11688.150000000025,2287,359,5.4125344352617395
23077,DOUGHNUT LIP GLOSS ,bas,11640.7,9662,308,1.2418446601941748
21977,PACK OF 60 PINK PAISLEY CAKE CASES,bas,11629.70000000001,24264,669,0.5513994169096271
22607,WOODEN ROUNDERS GARDEN SET ,premium,11601.13999999999,1269,303,9.776254071661207
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,moyen,11599.5,4218,46,2.75
22191,IVORY DINER WALL CLOCK,premium,11587.199999999995,1426,391,8.46184538653367
23174,REGENCY SUGAR BOWL GREEN,premium,11575.540000000008,2956,268,4.12672862453531
20971,PINK BLUE FELT CRAFT TRINKET BOX,bas,11565.429999999995,10199,446,1.2408533916849014
48188,DOORMAT WELCOME PUPPIES,premium,11544.199999999993,2028,252,7.90940711462452
21755,LOVE BUILDING BLOCK WORD,premium,11535.56000000002,1946,555,6.015879310344815
22149,FELTCRAFT 6 FLOWER FRIENDS,moyen,11512.700000000037,5877,457,2.086140724946711
22427,ENAMEL FLOWER JUG CREAM,premium,11444.930000000031,1995,441,5.911252796420566
82486,WOOD S/3 CABINET ANT WHITE FINISH,premium,11394.89999999995,1370,373,8.565343915343883
22193,RED DINER WALL CLOCK,premium,11074.389999999996,1352,416,8.497350835322202
21731,RED TOADSTOOL LED NIGHT LIGHT,moyen,11010.449999999984,6673,486,1.6499999999999857
21930,JUMBO STORAGE BAG SKULLS,moyen,10890.789999999963,5706,471,2.0277130977131104
21232,STRAWBERRY CERAMIC TRINKET BOX,bas,10819.259999999997,9297,502,1.23249019607843
22501,PICNIC BASKET WICKER LARGE,premium,10818.899999999998,1194,257,9.779806949806941
20726,LUNCH BAG WOODLAND,moyen,10738.199999999968,6508,792,1.6500000000000095
22570,FELTCRAFT CUSHION RABBIT,premium,10694.810000000001,3018,324,3.737357357357359
47566B,TEA TIME PARTY BUNTING,premium,10445.25,2291,313,4.861041009463749
21936,RED RETROSPOT PICNIC BAG,moyen,10319.549999999996,3749,381,2.919791666666685
21790,VINTAGE SNAP CARDS,bas,10302.350000000031,13247,712,0.84081267217632
22730,ALARM CLOCK BAKELIKE IVORY,premium,10285.609999999999,2728,468,3.7554716981132086
22087,PAPER BUNTING WHITE LACE,moyen,10264.049999999994,3779,257,2.880566037735855
85014B,RED RETROSPOT UMBRELLA,premium,10247.470000000007,1846,303,6.0924509803921865
21479,WHITE SKULL HOT WATER BOTTLE ,premium,10227.72,2702,378,4.0190025575447565
22617,BAKING SET SPACEBOY DESIGN,premium,10210.89000000003,2153,424,5.038665105386436
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,premium,10161.410000000007,928,260,12.19170454545454
22988,SOLDIERS EGG CUP ,bas,10128.08,8812,321,1.2356927710843375
47590A,BLUE HAPPY BIRTHDAY BUNTING,premium,10107.520000000024,1950,355,5.468033707865199
20724,RED RETROSPOT CHARLOTTE BAG,bas,10101.400000000012,12794,731,0.8409017496635383
21891,TRADITIONAL WOODEN SKIPPING ROPE,bas,10019.469999999974,7919,340,1.3947486033519478
22499,WOODEN UNION JACK BUNTING,premium,9928.830000000025,1734,296,5.945016722408056
84997C,CHILDRENS CUTLERY POLKADOT BLUE,premium,9831.400000000005,2524,211,4.119811320754703
48173C,DOORMAT BLACK FLOCK ,premium,9822.199999999995,1787,173,7.7455681818181885
23343,JUMBO BAG VINTAGE CHRISTMAS ,moyen,9740.079999999994,4906,383,2.0680203045685386
22189,CREAM HEART CARD HOLDER,premium,9724.030000000013,2573,431,3.9519178082192075
23076,ICE CREAM SUNDAE LIP GLOSS,bas,9668.160000000002,7920,248,1.2449397590361446
22970,LONDON BUS COFFEE MUG,moyen,9666.299999999994,4246,276,2.4929577464788677
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,bas,9656.79000000001,12313,732,0.8391102257636245
22569,FELTCRAFT CUSHION BUTTERFLY,premium,9655.479999999996,2698,294,3.737209302325582
22690,DOORMAT HOME SWEET HOME BLUE ,premium,9635.889999999985,1597,261,7.872651515151528
84997B,CHILDRENS CUTLERY RETROSPOT RED ,premium,9603.680000000004,2492,229,4.149827586206882
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,bas,9597.709999999961,15611,529,0.6483955223880582
22846,BREAD BIN DINER STYLE RED ,premium,9597.309999999992,626,249,16.345381526104344
82600,NO SINGING METAL SIGN,moyen,9573.599999999993,4636,384,2.082835051546405
22605,WOODEN CROQUET GARDEN SET,premium,9555.98,709,240,14.353443983402453
22633,HAND WARMER UNION JACK,moyen,9550.560000000023,4746,441,2.0831276595744836
22188,BLACK HEART CARD HOLDER,moyen,9482.400000000001,4104,16,2.310625
22692,DOORMAT WELCOME TO OUR HOME,premium,9468.079999999982,1378,338,7.9171176470588405
22413,METAL SIGN TAKE IT OR LEAVE IT ,moyen,9400.64999999998,3303,344,2.944871794871813
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,premium,9374.699999999988,1266,214,7.769444444444473
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,premium,9329.169999999998,2469,319,4.00159509202454
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,bas,9307.359999999993,8260,271,1.2160000000000004
23240,SET OF 4 KNICK KNACK TINS DOILY ,premium,9270.499999999962,2294,312,4.137538940809977
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,premium,9200.639999999998,2608,318,3.6991640866873055
22560,TRADITIONAL MODELLING CLAY,bas,9190.930000000004,7965,324,1.2289538461538465
21217,RED RETROSPOT ROUND CAKE TINS,premium,9188.249999999984,975,257,9.860852713178284
22978,PANTRY ROLLING PIN,premium,9184.279999999999,2407,197,3.7522727272727265
20679,EDWARDIAN PARASOL RED,premium,9055.869999999999,1630,270,5.920369003690065
21914,BLUE HARMONICA IN BOX ,bas,8993.85,7341,503,1.2485185185185186
22178,VICTORIAN GLASS HANGING T-LIGHT,moyen,8971.559999999992,4844,229,1.9505172413793028
22992,REVOLVER WOODEN RULER ,moyen,8937.89999999999,4914,282,1.939761092150168
20725,LUNCH BAG RED RETROSPOT,bas,8888.5,6130,64,1.4500000000000015
23207,LUNCH BAG ALPHABET DESIGN,moyen,8830.799999999987,5352,630,1.6499999999999895
21731,RED TOADSTOOL LED NIGHT LIGHT,bas,8755.500000000002,6174,29,1.4293103448275866
22838,3 TIER CAKE TIN RED AND CREAM,premium,8737.77999999999,652,136,14.75470588235297
85150,LADIES & GENTLEMEN METAL SIGN,moyen,8699.130000000014,3899,367,2.5140650406503924
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,moyen,8665.200000000026,3702,420,2.523958333333315
84991,60 TEATIME FAIRY CAKE CASES,bas,8618.369999999986,17689,657,0.5482199710564466
22966,GINGERBREAD MAN COOKIE CUTTER,bas,8600.530000000002,7194,546,1.2442730496453895
22619,SET OF 6 SOLDIER SKITTLES,premium,8597.500000000002,2297,339,3.868265895953759
22554,PLASTERS IN TIN WOODLAND ANIMALS,moyen,8568.450000000006,5193,569,1.6499999999999844
84375,SET OF 20 KIDS COOKIE CUTTERS,moyen,8536.200000000004,4110,405,2.0966426858513336
23582,VINTAGE DOILY JUMBO BAG RED ,moyen,8535.260000000004,4447,234,2.0665975103734397
23581,JUMBO BAG PAISLEY PARK,moyen,8529.239999999998,4373,302,2.0596190476190515
82582,AREA PATROLLED METAL SIGN,moyen,8527.439999999997,4284,369,2.0819571045576546
22632,HAND WARMER RED RETROSPOT,moyen,8526.119999999994,4274,341,2.0876553672316516
22424,ENAMEL BREAD BIN CREAM,premium,8519.0,713,326,12.658780487804876
20972,PINK CREAM FELT CRAFT TRINKET BOX ,bas,8515.650000000001,7077,522,1.2457541899441342
21791,VINTAGE HEADS AND TAILS CARD GAME ,bas,8433.009999999998,7103,474,1.2436666666666667
22169,FAMILY ALBUM WHITE PICTURE FRAME,premium,8416.639999999998,1075,286,8.388641114982589
22041,"RECORD FRAME 7"" SINGLE SIZE ",moyen,8391.300000000016,3800,191,2.4293814432989764
22776,SWEETHEART CAKESTAND 3 TIER,premium,8376.599999999973,892,326,9.83470948012228
21174,POTTERING IN THE SHED METAL SIGN,moyen,8372.69999999999,3926,371,2.069736842105273
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",premium,8354.870000000004,1841,241,4.8987200000000195
23318,BOX OF 6 MINI VINTAGE CRACKERS,moyen,8350.409999999967,3647,329,2.45715133531158
22551,PLASTERS IN TIN SPACEBOY,moyen,8344.050000000016,5057,554,1.6499999999999846
22791,T-LIGHT GLASS FLUTED ANTIQUE,bas,8337.069999999998,7319,256,1.215190839694657
23209,LUNCH BAG VINTAGE DOILY ,moyen,8332.499999999993,5050,524,1.649999999999985
22147,FELTCRAFT BUTTERFLY HEARTS,bas,8281.649999999981,6117,430,1.4397091722595101
23319,BOX OF 6 MINI 50'S CRACKERS,moyen,8216.789999999959,3539,365,2.4641732283464646
23322,LARGE WHITE HEART OF WICKER,moyen,8167.329999999961,2905,509,2.9368060836502163
71459,HANGING JAM JAR T-LIGHT HOLDER,bas,8164.119999999968,10528,310,0.8286816720257201
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,bas,8150.649999999971,10213,302,0.8415584415584381
22158,3 HEARTS HANGING DECORATION RUSTIC,moyen,8138.050000000004,2891,257,2.933458646616551
23082,SET 6 PAPER TABLE LANTERN HEARTS ,premium,8129.43,2265,263,3.7230402930402926
22655,VINTAGE RED KITCHEN CABINET,premium,8125.0,60,38,143.42105263157896
23208,LUNCH BAG VINTAGE LEAF DESIGN,moyen,8086.6499999999905,4901,582,1.6499999999999844
23078,ICE CREAM PEN LIP GLOSS ,bas,8077.310000000001,6607,213,1.245070422535211
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,premium,8071.510000000002,2223,401,3.7539429928741104
48116,DOORMAT MULTICOLOUR STRIPE,premium,8053.2199999999975,1419,141,7.699647887323953
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,moyen,8034.460000000023,2840,328,2.8831578947368306
22766,PHOTO FRAME CORNICE,moyen,8023.00000000001,2788,451,2.942224622030262
22729,ALARM CLOCK BAKELIKE ORANGE,premium,7995.63,2182,359,3.766294277929156
23256,CHILDRENS CUTLERY SPACEBOY ,premium,7974.38000000002,1982,316,4.151677018633548
23080,RED METAL BOX TOP SECRET,premium,7962.030000000001,1003,221,8.357543859649125
22667,RECIPE BOX RETROSPOT ,moyen,7952.8999999999605,2870,441,2.9218061674009013
21210,SET OF 72 RETROSPOT PAPER  DOILIES,bas,7915.24999999996,5669,360,1.4428374655647318
22556,PLASTERS IN TIN CIRCUS PARADE ,moyen,7913.400000000019,4796,506,1.6499999999999855
21733,RED HANGING HEART T-LIGHT HOLDER,premium,7901.64,2440,16,4.505000000000001
21121,SET/10 RED POLKADOT PARTY CANDLES,bas,7799.179999999999,6502,336,1.2466860465116278
23301,GARDENERS KNEELING PAD KEEP CALM ,moyen,7788.000000000013,4720,700,1.6499999999999977
72741,GRAND CHOCOLATECANDLE,bas,7785.050000000026,5801,249,1.4284860557768868
22502,PICNIC BASKET WICKER SMALL,premium,7744.7,1426,231,5.827118644067822
22940,FELTCRAFT CHRISTMAS FAIRY,premium,7722.679999999999,1896,302,4.35126984126984
23209,LUNCH BAG DOILEY PATTERN ,moyen,7692.2999999999965,4662,446,1.6499999999999866
20711,JUMBO BAG TOYS ,moyen,7689.280000000007,4198,245,2.013319838056676
84378,SET OF 3 HEART COOKIE CUTTERS,bas,7660.65999999997,5986,512,1.3082217973231451
23439,HAND WARMER RED LOVE HEART,moyen,7660.19999999999,3762,371,2.0943609022556537
22555,PLASTERS IN TIN STRONGMAN,moyen,7649.400000000021,4636,437,1.6499999999999866
22768,FAMILY PHOTO FRAME CORNICE,premium,7646.839999999984,837,233,9.909574468085115
35970,ZINC FOLKART SLEIGH BELLS,moyen,7532.949999999996,4615,331,1.6788563049853413
22192,BLUE DINER WALL CLOCK,premium,7528.930000000001,907,338,8.48381656804734
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,premium,7510.289999999997,2067,281,3.7216262975778545
22952,60 CAKE CASES VINTAGE CHRISTMAS,bas,7417.849999999979,14735,466,0.5426464646464693
21314,SMALL GLASS HEART TRINKET POT,moyen,7404.300000000023,3668,340,2.0818313953488503
21770,OPEN CLOSED METAL SIGN,premium,7311.359999999957,1577,341,4.944215116279098
22616,PACK OF 12 LONDON TISSUES ,bas,7266.710000000005,25345,382,0.3261209068010077
20719,WOODLAND CHARLOTTE BAG,bas,7262.570000000009,9228,526,0.8382255083179376
23238,SET OF 4 KNICK KNACK TINS LONDON ,premium,7170.599999999982,1788,233,4.133606557377034
22750,FELTCRAFT PRINCESS LOLA DOLL,premium,7166.9400000000005,1964,378,3.7664961636828638
23240,SET OF 4 KNICK KNACK TINS DOILEY ,premium,7136.8499999999885,1803,172,4.124999999999988
22585,PACK OF 6 BIRDY GIFT TAGS,bas,7120.180000000002,6050,314,1.2409253731343284
22662,LUNCH BAG DOLLY GIRL DESIGN,moyen,7114.7999999999965,4312,576,1.6499999999999844
22355,CHARLOTTE BAG SUKI DESIGN,bas,7114.200000000004,8960,577,0.840761421319806
84836,ZINC METAL HEART DECORATION,bas,7101.299999999999,5754,473,1.2480532786885246
21889,WOODEN BOX OF DOMINOES,bas,7085.57,5725,437,1.2487444933920706
22795,SWEETHEART RECIPE BOOK STAND,premium,7084.649999999999,1099,287,6.686769759450175
22558,CLOTHES PEGS RETROSPOT PACK 24 ,moyen,7081.3100000000295,4439,562,1.5970402802101438
21218,RED SPOTTY BISCUIT TIN,premium,7071.2,2058,203,3.7556310679611644
23007, SPACEBOY BABY GIFT SET,premium,7065.499999999982,450,142,16.51643356643357
21908,CHOCOLATE THIS WAY METAL SIGN,moyen,7035.05999999999,3593,364,2.0865498652291246
22950,36 DOILIES VINTAGE CHRISTMAS,bas,7006.249999999981,5153,160,1.436335403726704
